track,artist,final_emotion,reason,lyrics
Drunk and Belligerent,Adam Sapphire,fear,Track was not found,
Black pearl in a crystalline shell,Terra Tenebrosa,fear,Track was not found,
Sunset,Non,fear,Track was not found,
Welcome To Hell (Intro),"Pixietricks, TO",fear,Track was not found,
Six Days With Lord Diabolus,Beherit,fear,Track was not found,
Screams Choked to Silence,Gorelord,fear,Track was not found,
Wild Women With Steak-Knives,Diamanda Galás,fear,Track was not found,
View of a Desolate Wasteland,Viking Crown,fear,Track was not found,
Empires of Inhumanity,Fatal Embrace,fear,Track was not found,
Troll,Tristania,fear,Track was not found,
Stay Evil,Incriminated,fear,Track was not found,
Sweet Wine,Celebratum,fear,Track was not found,
Song For The Devil's Son (Bonus),Deströyer 666,fear,Track was not found,
Abomination,Impaler,fear,Track was not found,
Unus solus Deus ab aeterno in aeternum,Carl Orff,fear,Track was not found,
es besitzt dich,RABENSUMPF,fear,Track was not found,
New Living Dead,The Demonic Paradise,fear,Track was not found,
Beck Depression Inventory,My Boyfriend the Pilot,fear,Track was not found,
Kill,Moth,fear,Track was not found,
it is tech_master,Warpcore project,fear,Track was not found,
witches wear bubbling zippers,a finely-tailored jitbag,fear,Track was not found,
NELLIE ..,BennY RevivaL,fear,Track was not found,
laSHTal/Abraxas,AK[B2226],fear,Track was not found,
At Risk,Trent Reznor & Atticus Ross,fear,Track was not found,
Thanatos: Hate Meditation,AK[B2226],fear,Track was not found,
"Kyrie!  Serva nos, salva nos, eripe nos!",Carl Orff,fear,Track was not found,
Eis Aiona,Carl Orff,fear,Track was not found,
"Bruised, Beaten, Scabbed and scarred",Lucifers Crossing,fear,Track was not found,
Dancing uder the Closed Eyes of Paradise,Elend,fear,Track was not found,
Eros: Extroductio,AK[B2226],fear,Track was not found,
Next door girl,<Unknown>,fear,Track was not found,
The Suck for Your Solution,Marilyn Manson,fear,Track was not found,
Several Species Of Small Furry Animals,Pink Floyd,fear,Track was not found,
24 Hour Paramedic,Elspeth,fear,Track was not found,
Dmitri Shostakovich - Symphony No 10,Дмитрий Дмитриевич Шостакович,fear,Track was not found,
Semena Mertvykh,Boards of Canada,fear,Track was not found,
Mansion,The Fall,fear,Track was not found,
The Agoge,Tyler Bates,fear,Track was not found,
rale,Autechre,fear,Track was not found,
January 8th,Women,fear,Track was not found,
Rino's Prayer,Leftfield,fear,Track was not found,
Toccata,Jaga Jazzist,fear,Track was not found,
A Loan Tonight,The Dandy Warhols,fear,Track was not found,
The Gypsies Came Marching After,White Magic,fear,Track was not found,
The Battle of Chamdo,Gorguts,fear,Track was not found,
Närr Allt Blir Is,Finntroll,fear,Track was not found,
Hollow,Subheim,fear,Track was not found,
